screen_name,Label,followers_count,friends_count
LisaMarieChish2,LisaMarieChish2,78.0,67.0
kenbaumann,kenbaumann,,
AdademOmoluabi,AdademOmoluabi,,
HarleyWilsonXoX,HarleyWilsonXoX,,
OceanMalandra,OceanMalandra,195.0,550.0
NigeriaNewsdesk,NigeriaNewsdesk,1351368.0,2.0
Milknorf,Milknorf,,
MalawiBreaking,MalawiBreaking,,
jag_bros,jag_bros,40745.0,9533.0
GovernmentZA,GovernmentZA,69438.0,347.0
postcolonialist,postcolonialist,,
yourSDP,yourSDP,,
morganaleghieri,morganaleghieri,,
MBuhari,MBuhari,,
coimcne,coimcne,436.0,426.0
MarcBartra,MarcBartra,,
MarcStarvaggi,MarcStarvaggi,466.0,382.0
SPIEGELONLINE,SPIEGELONLINE,2175563.0,284.0
tazgezwitscher,tazgezwitscher,519659.0,1031.0
gnrlybstrd,gnrlybstrd,62.0,37.0
MsSarahPaulson,MsSarahPaulson,,
BBhuttoZardari,BBhuttoZardari,,
Goldpunzel,Goldpunzel,454.0,465.0
ahmedbindaghar,ahmedbindaghar,,
MintchevMichael,MintchevMichael,182.0,187.0
SenTomCotton,SenTomCotton,,
ArvindKejriwal,ArvindKejriwal,,
ManojTiwariMP,ManojTiwariMP,,
campusforgbpec,campusforgbpec,355.0,48.0
msisodia,msisodia,,
upadhyaysbjp,upadhyaysbjp,,
ChelseaClinton,ChelseaClinton,,
MannyMua733,MannyMua733,,
aripsaripudin87,aripsaripudin87,,
WilliamOlesky,WilliamOlesky,,
thehill,thehill,,
FAOEastAfrica,FAOEastAfrica,1897.0,352.0
FAOemergencies,FAOemergencies,26606.0,1727.0
JLMelenchon,JLMelenchon,,
Ebonybjonz,Ebonybjonz,11691.0,560.0
veganposters,veganposters,,
Maihopawango,Maihopawango,,
POTUS,POTUS,,
BatRaider3960,BatRaider3960,,
LaurenJauregui,LaurenJauregui,,
ridwankamil,ridwankamil,,
Lawrence,Lawrence,,
WFP,WFP,1409989.0,1389.0
LVIS666,LVIS666,,
kenro42,kenro42,182.0,367.0
MarkRuffalo,MarkRuffalo,3111456.0,1398.0
KatieQLowes,KatieQLowes,,
kerrywashington,kerrywashington,,
IvankaTrump,IvankaTrump,,
NiallOfficial,NiallOfficial,,
azzleprock,azzleprock,,
renbose,renbose,,
Cyrilhanouna,Cyrilhanouna,,
GregMooreNH,GregMooreNH,,
UNICEF,UNICEF,6004826.0,24898.0
xcatallenana,xcatallenana,,
agroafrika,agroafrika,,
soldier_777,soldier_777,5111.0,3906.0
EWatsonICRC,EWatsonICRC,2018.0,704.0
tedlieu,tedlieu,,
EndR601,EndR601,,
hermesgypsy,hermesgypsy,1144.0,1528.0
30SECONDSTOMARS,30SECONDSTOMARS,,
DivorceLawUS,DivorceLawUS,,
HxnsDxnixl,HxnsDxnixl,,
SindhCMHouse,SindhCMHouse,,
Unbridled_Truth,Unbridled_Truth,,
gamespot_ougiya,gamespot_ougiya,126.0,134.0
AmazingPhil,AmazingPhil,,
BlatteKilleuse,BlatteKilleuse,15.0,59.0
skycinemas,skycinemas,,
ShaatieshDr93,ShaatieshDr93,161.0,234.0
Si3211980,Si3211980,,
iBlali,iBlali,,
domsims,domsims,,
